DATE,HOUR,PRICE
08/31/2017,01,0.020180
08/31/2017,02,0.019800
08/31/2017,03,0.019290
08/31/2017,04,0.019210
08/31/2017,05,0.019190
08/31/2017,06,0.021740
08/31/2017,07,0.021670
08/31/2017,08,0.022700
08/31/2017,09,0.023700
08/31/2017,10,0.025650
08/31/2017,11,0.027310
08/31/2017,12,0.027560
08/31/2017,13,0.029360
08/31/2017,14,0.030890
08/31/2017,15,0.031500
08/31/2017,16,0.032600
08/31/2017,17,0.031290
08/31/2017,18,0.028610
08/31/2017,19,0.026650
08/31/2017,20,0.027160
08/31/2017,21,0.025050
08/31/2017,22,0.021540
08/31/2017,23,0.019890
08/31/2017,24,0.018830
09/01/2017,01,0.017460
09/01/2017,02,0.016170
09/01/2017,03,0.015450
09/01/2017,04,0.015520
09/01/2017,05,0.017190
09/01/2017,06,0.019780
09/01/2017,07,0.021530
09/01/2017,08,0.021880
09/01/2017,09,0.022710
09/01/2017,10,0.023920
09/01/2017,11,0.024680
09/01/2017,12,0.024780
09/01/2017,13,0.026410
09/01/2017,14,0.027340
09/01/2017,15,0.027360
09/01/2017,16,0.027110
09/01/2017,17,0.026280
09/01/2017,18,0.024410
09/01/2017,19,0.023940
09/01/2017,20,0.023920
09/01/2017,21,0.022660
09/01/2017,22,0.020460
09/01/2017,23,0.019570
09/01/2017,24,0.018880
09/02/2017,01,0.016960
09/02/2017,02,0.015570
09/02/2017,03,0.014710
09/02/2017,04,0.014630
09/02/2017,05,0.015810
09/02/2017,06,0.017330
09/02/2017,07,0.018370
09/02/2017,08,0.019720
09/02/2017,09,0.021330
09/02/2017,10,0.022530
09/02/2017,11,0.022990
09/02/2017,12,0.023120
09/02/2017,13,0.023860
09/02/2017,14,0.023770
09/02/2017,15,0.024310
09/02/2017,16,0.024670
09/02/2017,17,0.024790
09/02/2017,18,0.024370
09/02/2017,19,0.024050
09/02/2017,20,0.024380
09/02/2017,21,0.023630
09/02/2017,22,0.022150
09/02/2017,23,0.020020
09/02/2017,24,0.018870
09/03/2017,01,0.017960
09/03/2017,02,0.017600
09/03/2017,03,0.016610
09/03/2017,04,0.015500
09/03/2017,05,0.015690
09/03/2017,06,0.016880
09/03/2017,07,0.017210
09/03/2017,08,0.018110
09/03/2017,09,0.019920
09/03/2017,10,0.021610
09/03/2017,11,0.022590
09/03/2017,12,0.022850
09/03/2017,13,0.023960
09/03/2017,14,0.023870
09/03/2017,15,0.025180
09/03/2017,16,0.026890
09/03/2017,17,0.027320
09/03/2017,18,0.025970
09/03/2017,19,0.026120
09/03/2017,20,0.025820
09/03/2017,21,0.024160
09/03/2017,22,0.021630
09/03/2017,23,0.019010
09/03/2017,24,0.017570
09/04/2017,01,0.016150
09/04/2017,02,0.015210
09/04/2017,03,0.013620
09/04/2017,04,0.013020
09/04/2017,05,0.013380
09/04/2017,06,0.015200
09/04/2017,07,0.017480
09/04/2017,08,0.018340
09/04/2017,09,0.020480
09/04/2017,10,0.022060
09/04/2017,11,0.023280
09/04/2017,12,0.025210
09/04/2017,13,0.027520
09/04/2017,14,0.029140
09/04/2017,15,0.030070
09/04/2017,16,0.032330
09/04/2017,17,0.035460
09/04/2017,18,0.032530
09/04/2017,19,0.031210
09/04/2017,20,0.029630
09/04/2017,21,0.027780
09/04/2017,22,0.024430
09/04/2017,23,0.021320
09/04/2017,24,0.019840
09/05/2017,01,0.018320
09/05/2017,02,0.017420
09/05/2017,03,0.016600
09/05/2017,04,0.016340
09/05/2017,05,0.017770
09/05/2017,06,0.020140
09/05/2017,07,0.022730
09/05/2017,08,0.022870
09/05/2017,09,0.024550
09/05/2017,10,0.026590
09/05/2017,11,0.028050
09/05/2017,12,0.028460
09/05/2017,13,0.028900
09/05/2017,14,0.029900
09/05/2017,15,0.029560
09/05/2017,16,0.030320
09/05/2017,17,0.029670
09/05/2017,18,0.027810
09/05/2017,19,0.028020
09/05/2017,20,0.028040
09/05/2017,21,0.027310
09/05/2017,22,0.023840
09/05/2017,23,0.021370
09/05/2017,24,0.020090
09/06/2017,01,0.019120
09/06/2017,02,0.018060
09/06/2017,03,0.017400
09/06/2017,04,0.018050
09/06/2017,05,0.019190
09/06/2017,06,0.021910
09/06/2017,07,0.023650
09/06/2017,08,0.022890
09/06/2017,09,0.024520
09/06/2017,10,0.026000
09/06/2017,11,0.027280
09/06/2017,12,0.027720
09/06/2017,13,0.028230
09/06/2017,14,0.028910
09/06/2017,15,0.029060
09/06/2017,16,0.029040
09/06/2017,17,0.028280
09/06/2017,18,0.027500
09/06/2017,19,0.027510
09/06/2017,20,0.028170
09/06/2017,21,0.025990
09/06/2017,22,0.023460
09/06/2017,23,0.022300
09/06/2017,24,0.020800
09/07/2017,01,0.019050
09/07/2017,02,0.018110
09/07/2017,03,0.017630
09/07/2017,04,0.017620
09/07/2017,05,0.018750
09/07/2017,06,0.022160
09/07/2017,07,0.022530
09/07/2017,08,0.022160
09/07/2017,09,0.023110
09/07/2017,10,0.024000
09/07/2017,11,0.024880
09/07/2017,12,0.025300
09/07/2017,13,0.025970
09/07/2017,14,0.026340
09/07/2017,15,0.027180
09/07/2017,16,0.027740
09/07/2017,17,0.026970
09/07/2017,18,0.026200
09/07/2017,19,0.025950
09/07/2017,20,0.026450
09/07/2017,21,0.024910
09/07/2017,22,0.022060
09/07/2017,23,0.020710
09/07/2017,24,0.019770
09/08/2017,01,0.017980
09/08/2017,02,0.016840
09/08/2017,03,0.016370
09/08/2017,04,0.016730
09/08/2017,05,0.017950
09/08/2017,06,0.021060
09/08/2017,07,0.022010
09/08/2017,08,0.021660
09/08/2017,09,0.023550
09/08/2017,10,0.024580
09/08/2017,11,0.025140
09/08/2017,12,0.025280
09/08/2017,13,0.025680
09/08/2017,14,0.026800
09/08/2017,15,0.027510
09/08/2017,16,0.027970
09/08/2017,17,0.026130
09/08/2017,18,0.025280
09/08/2017,19,0.024660
09/08/2017,20,0.024920
09/08/2017,21,0.023820
09/08/2017,22,0.021760
09/08/2017,23,0.020090
09/08/2017,24,0.019290
09/09/2017,01,0.018100
09/09/2017,02,0.016490
09/09/2017,03,0.015470
09/09/2017,04,0.015690
09/09/2017,05,0.016610
09/09/2017,06,0.017620
09/09/2017,07,0.018270
09/09/2017,08,0.019860
09/09/2017,09,0.021650
09/09/2017,10,0.022980
09/09/2017,11,0.024210
09/09/2017,12,0.024520
09/09/2017,13,0.025020
09/09/2017,14,0.026050
09/09/2017,15,0.026240
09/09/2017,16,0.027180
09/09/2017,17,0.027410
09/09/2017,18,0.025320
09/09/2017,19,0.024500
09/09/2017,20,0.025980
09/09/2017,21,0.024100
09/09/2017,22,0.020680
09/09/2017,23,0.019220
09/09/2017,24,0.019170
09/10/2017,01,0.016960
09/10/2017,02,0.015690
09/10/2017,03,0.014070
09/10/2017,04,0.013840
09/10/2017,05,0.014440
09/10/2017,06,0.016730
09/10/2017,07,0.017330
09/10/2017,08,0.018230
09/10/2017,09,0.020740
09/10/2017,10,0.021750
09/10/2017,11,0.022380
09/10/2017,12,0.022520
09/10/2017,13,0.023650
09/10/2017,14,0.024460
09/10/2017,15,0.025150
09/10/2017,16,0.027400
09/10/2017,17,0.028100
09/10/2017,18,0.026450
09/10/2017,19,0.025780
09/10/2017,20,0.027280
09/10/2017,21,0.024790
09/10/2017,22,0.021080
09/10/2017,23,0.019280
09/10/2017,24,0.018490
09/11/2017,01,0.016110
09/11/2017,02,0.014910
09/11/2017,03,0.014030
09/11/2017,04,0.015640
09/11/2017,05,0.017380
09/11/2017,06,0.020760
09/11/2017,07,0.022110
09/11/2017,08,0.022320
09/11/2017,09,0.024510
09/11/2017,10,0.025980
09/11/2017,11,0.026890
09/11/2017,12,0.027630
09/11/2017,13,0.029770
09/11/2017,14,0.031900
09/11/2017,15,0.033470
09/11/2017,16,0.035620
09/11/2017,17,0.035610
09/11/2017,18,0.031490
09/11/2017,19,0.030850
09/11/2017,20,0.030720
09/11/2017,21,0.027130
09/11/2017,22,0.022650
09/11/2017,23,0.020900
09/11/2017,24,0.019760
09/12/2017,01,0.018600
09/12/2017,02,0.018050
09/12/2017,03,0.017550
09/12/2017,04,0.017760
09/12/2017,05,0.018890
09/12/2017,06,0.021670
09/12/2017,07,0.023810
09/12/2017,08,0.023550
09/12/2017,09,0.024490
09/12/2017,10,0.026150
09/12/2017,11,0.027460
09/12/2017,12,0.028350
09/12/2017,13,0.030470
09/12/2017,14,0.032050
09/12/2017,15,0.033320
09/12/2017,16,0.034060
09/12/2017,17,0.034800
09/12/2017,18,0.031850
09/12/2017,19,0.030720
09/12/2017,20,0.031680
09/12/2017,21,0.027710
09/12/2017,22,0.022950
09/12/2017,23,0.020770
09/12/2017,24,0.019340
09/13/2017,01,0.018110
09/13/2017,02,0.017560
09/13/2017,03,0.016830
09/13/2017,04,0.017110
09/13/2017,05,0.018270
09/13/2017,06,0.022240
09/13/2017,07,0.024490
09/13/2017,08,0.023800
09/13/2017,09,0.025900
09/13/2017,10,0.027290
09/13/2017,11,0.028420
09/13/2017,12,0.028760
09/13/2017,13,0.030300
09/13/2017,14,0.032630
09/13/2017,15,0.034180
09/13/2017,16,0.036380
09/13/2017,17,0.035910
09/13/2017,18,0.032390
09/13/2017,19,0.030640
09/13/2017,20,0.030400
09/13/2017,21,0.027530
09/13/2017,22,0.023180
09/13/2017,23,0.020980
09/13/2017,24,0.018830
09/14/2017,01,0.019060
09/14/2017,02,0.017850
09/14/2017,03,0.017140
09/14/2017,04,0.017310
09/14/2017,05,0.019570
09/14/2017,06,0.024680
09/14/2017,07,0.026380
09/14/2017,08,0.026440
09/14/2017,09,0.028290
09/14/2017,10,0.029650
09/14/2017,11,0.031480
09/14/2017,12,0.033280
09/14/2017,13,0.035700
09/14/2017,14,0.038710
09/14/2017,15,0.040950
09/14/2017,16,0.044240
09/14/2017,17,0.042940
09/14/2017,18,0.038750
09/14/2017,19,0.034930
09/14/2017,20,0.033420
09/14/2017,21,0.029320
09/14/2017,22,0.024770
09/14/2017,23,0.022440
09/14/2017,24,0.019970
09/15/2017,01,0.018370
09/15/2017,02,0.017320
09/15/2017,03,0.016840
09/15/2017,04,0.017020
09/15/2017,05,0.019150
09/15/2017,06,0.023710
09/15/2017,07,0.025020
09/15/2017,08,0.025630
09/15/2017,09,0.026950
09/15/2017,10,0.029650
09/15/2017,11,0.032050
09/15/2017,12,0.034460
09/15/2017,13,0.037630
09/15/2017,14,0.041110
09/15/2017,15,0.045420
09/15/2017,16,0.047460
09/15/2017,17,0.045580
09/15/2017,18,0.039700
09/15/2017,19,0.034160
09/15/2017,20,0.032170
09/15/2017,21,0.027840
09/15/2017,22,0.025170
09/15/2017,23,0.022350
09/15/2017,24,0.020090
09/16/2017,01,0.018170
09/16/2017,02,0.017090
09/16/2017,03,0.016610
09/16/2017,04,0.016370
09/16/2017,05,0.016750
09/16/2017,06,0.018060
09/16/2017,07,0.019620
09/16/2017,08,0.021160
09/16/2017,09,0.023830
09/16/2017,10,0.025820
09/16/2017,11,0.027580
09/16/2017,12,0.029230
09/16/2017,13,0.032310
09/16/2017,14,0.034950
09/16/2017,15,0.037780
09/16/2017,16,0.040980
09/16/2017,17,0.040300
09/16/2017,18,0.036860
09/16/2017,19,0.033250
09/16/2017,20,0.031650
09/16/2017,21,0.027720
09/16/2017,22,0.024870
09/16/2017,23,0.022350
09/16/2017,24,0.020620
09/17/2017,01,0.019230
09/17/2017,02,0.018520
09/17/2017,03,0.017960
09/17/2017,04,0.017410
09/17/2017,05,0.017480
09/17/2017,06,0.018650
09/17/2017,07,0.019410
09/17/2017,08,0.020800
09/17/2017,09,0.023800
09/17/2017,10,0.024780
09/17/2017,11,0.027170
09/17/2017,12,0.028870
09/17/2017,13,0.033270
09/17/2017,14,0.035800
09/17/2017,15,0.040080
09/17/2017,16,0.045330
09/17/2017,17,0.046080
09/17/2017,18,0.041340
09/17/2017,19,0.036440
09/17/2017,20,0.035840
09/17/2017,21,0.029230
09/17/2017,22,0.024920
09/17/2017,23,0.021940
09/17/2017,24,0.020410
09/18/2017,01,0.019640
09/18/2017,02,0.018860
09/18/2017,03,0.018410
09/18/2017,04,0.018500
09/18/2017,05,0.019530
09/18/2017,06,0.023580
09/18/2017,07,0.026310
09/18/2017,08,0.026180
09/18/2017,09,0.027210
09/18/2017,10,0.029960
09/18/2017,11,0.032140
09/18/2017,12,0.033620
09/18/2017,13,0.038450
09/18/2017,14,0.042600
09/18/2017,15,0.043740
09/18/2017,16,0.048100
09/18/2017,17,0.046100
09/18/2017,18,0.042590
09/18/2017,19,0.038010
09/18/2017,20,0.035980
09/18/2017,21,0.031200
09/18/2017,22,0.026220
09/18/2017,23,0.023430
09/18/2017,24,0.020850
09/19/2017,01,0.019580
09/19/2017,02,0.018830
09/19/2017,03,0.018380
09/19/2017,04,0.018340
09/19/2017,05,0.019320
09/19/2017,06,0.023440
09/19/2017,07,0.024920
09/19/2017,08,0.025110
09/19/2017,09,0.026960
09/19/2017,10,0.028950
09/19/2017,11,0.030760
09/19/2017,12,0.033700
09/19/2017,13,0.037640
09/19/2017,14,0.040960
09/19/2017,15,0.043180
09/19/2017,16,0.046950
09/19/2017,17,0.043230
09/19/2017,18,0.038680
09/19/2017,19,0.035570
09/19/2017,20,0.035580
09/19/2017,21,0.029470
09/19/2017,22,0.024420
09/19/2017,23,0.021630
09/19/2017,24,0.019060
09/20/2017,01,0.018680
09/20/2017,02,0.018180
09/20/2017,03,0.017680
09/20/2017,04,0.017710
09/20/2017,05,0.018800
09/20/2017,06,0.023500
09/20/2017,07,0.025670
09/20/2017,08,0.025650
09/20/2017,09,0.027460
09/20/2017,10,0.030090
09/20/2017,11,0.034480
09/20/2017,12,0.040130
09/20/2017,13,0.046730
09/20/2017,14,0.054780
09/20/2017,15,0.058450
09/20/2017,16,0.065840
09/20/2017,17,0.062710
09/20/2017,18,0.053430
09/20/2017,19,0.046510
09/20/2017,20,0.045190
09/20/2017,21,0.038390
09/20/2017,22,0.031440
09/20/2017,23,0.026810
09/20/2017,24,0.023150
09/21/2017,01,0.022270
09/21/2017,02,0.020610
09/21/2017,03,0.019940
09/21/2017,04,0.019720
09/21/2017,05,0.021360
09/21/2017,06,0.026340
09/21/2017,07,0.028410
09/21/2017,08,0.029460
09/21/2017,09,0.030600
09/21/2017,10,0.036120
09/21/2017,11,0.040480
09/21/2017,12,0.049180
09/21/2017,13,0.058260
09/21/2017,14,0.067780
09/21/2017,15,0.080860
09/21/2017,16,0.088960
09/21/2017,17,0.078620
09/21/2017,18,0.065680
09/21/2017,19,0.055460
09/21/2017,20,0.053720
09/21/2017,21,0.042910
09/21/2017,22,0.031180
09/21/2017,23,0.028230
09/21/2017,24,0.023910
09/22/2017,01,0.021150
09/22/2017,02,0.019670
09/22/2017,03,0.019100
09/22/2017,04,0.018840
09/22/2017,05,0.019840
09/22/2017,06,0.024790
09/22/2017,07,0.026960
09/22/2017,08,0.030330
09/22/2017,09,0.034830
09/22/2017,10,0.040880
09/22/2017,11,0.047220
09/22/2017,12,0.058580
09/22/2017,13,0.068570
09/22/2017,14,0.083730
09/22/2017,15,0.096400
09/22/2017,16,0.105650
09/22/2017,17,0.094080
09/22/2017,18,0.072510
09/22/2017,19,0.057980
09/22/2017,20,0.053350
09/22/2017,21,0.040550
09/22/2017,22,0.031480
09/22/2017,23,0.028600
09/22/2017,24,0.023730
09/23/2017,01,0.021370
09/23/2017,02,0.020600
09/23/2017,03,0.020020
09/23/2017,04,0.019070
09/23/2017,05,0.018960
09/23/2017,06,0.020180
09/23/2017,07,0.020470
09/23/2017,08,0.023560
09/23/2017,09,0.031920
09/23/2017,10,0.036360
09/23/2017,11,0.041010
09/23/2017,12,0.051160
09/23/2017,13,0.062900
09/23/2017,14,0.076840
09/23/2017,15,0.087530
09/23/2017,16,0.095450
09/23/2017,17,0.080970
09/23/2017,18,0.063920
09/23/2017,19,0.054180
09/23/2017,20,0.052830
09/23/2017,21,0.039520
09/23/2017,22,0.032160
09/23/2017,23,0.025820
09/23/2017,24,0.023110
09/24/2017,01,0.020040
09/24/2017,02,0.019100
09/24/2017,03,0.018720
09/24/2017,04,0.018140
09/24/2017,05,0.018270
09/24/2017,06,0.018800
09/24/2017,07,0.019940
09/24/2017,08,0.021070
09/24/2017,09,0.025310
09/24/2017,10,0.027300
09/24/2017,11,0.031920
09/24/2017,12,0.042570
09/24/2017,13,0.047520
09/24/2017,14,0.059150
09/24/2017,15,0.064760
09/24/2017,16,0.073390
09/24/2017,17,0.069650
09/24/2017,18,0.053740
09/24/2017,19,0.043950
09/24/2017,20,0.042100
09/24/2017,21,0.036880
09/24/2017,22,0.028150
09/24/2017,23,0.024150
09/24/2017,24,0.021140
09/25/2017,01,0.019720
09/25/2017,02,0.019360
09/25/2017,03,0.018800
09/25/2017,04,0.018640
09/25/2017,05,0.019400
09/25/2017,06,0.024630
09/25/2017,07,0.027720
09/25/2017,08,0.027850
09/25/2017,09,0.030280
09/25/2017,10,0.035450
09/25/2017,11,0.040180
09/25/2017,12,0.052560
09/25/2017,13,0.060790
09/25/2017,14,0.085900
09/25/2017,15,0.099050
09/25/2017,16,0.109580
09/25/2017,17,0.095710
09/25/2017,18,0.074470
09/25/2017,19,0.060520
09/25/2017,20,0.054090
09/25/2017,21,0.043840
09/25/2017,22,0.033740
09/25/2017,23,0.026690
09/25/2017,24,0.022860
09/26/2017,01,0.020330
09/26/2017,02,0.019540
09/26/2017,03,0.019010
09/26/2017,04,0.018760
09/26/2017,05,0.019750
09/26/2017,06,0.025070
09/26/2017,07,0.028380
09/26/2017,08,0.027180
09/26/2017,09,0.028910
09/26/2017,10,0.035380
09/26/2017,11,0.043210
09/26/2017,12,0.051360
09/26/2017,13,0.068960
09/26/2017,14,0.087230
09/26/2017,15,0.103000
09/26/2017,16,0.111170
09/26/2017,17,0.102000
09/26/2017,18,0.071680
09/26/2017,19,0.053830
09/26/2017,20,0.049950
09/26/2017,21,0.039350
09/26/2017,22,0.030220
09/26/2017,23,0.025590
09/26/2017,24,0.021690
09/27/2017,01,0.019930
09/27/2017,02,0.019020
09/27/2017,03,0.018560
09/27/2017,04,0.018270
09/27/2017,05,0.019220
09/27/2017,06,0.024310
09/27/2017,07,0.024490
09/27/2017,08,0.024180
09/27/2017,09,0.025020
09/27/2017,10,0.025450
09/27/2017,11,0.026130
09/27/2017,12,0.027190
09/27/2017,13,0.035260
09/27/2017,14,0.030010
09/27/2017,15,0.032860
09/27/2017,16,0.033470
09/27/2017,17,0.032270
09/27/2017,18,0.028500
09/27/2017,19,0.027200
09/27/2017,20,0.027340
09/27/2017,21,0.025420
09/27/2017,22,0.022990
09/27/2017,23,0.021800
09/27/2017,24,0.020080
09/28/2017,01,0.019630
09/28/2017,02,0.018850
09/28/2017,03,0.018300
09/28/2017,04,0.018510
09/28/2017,05,0.019480
09/28/2017,06,0.023700
09/28/2017,07,0.023980
09/28/2017,08,0.024310
09/28/2017,09,0.024930
09/28/2017,10,0.024780
09/28/2017,11,0.026380
09/28/2017,12,0.027000
09/28/2017,13,0.028480
09/28/2017,14,0.031430
09/28/2017,15,0.032600
09/28/2017,16,0.034480
09/28/2017,17,0.031820
09/28/2017,18,0.030720
09/28/2017,19,0.028720
09/28/2017,20,0.029610
09/28/2017,21,0.025890
09/28/2017,22,0.022630
09/28/2017,23,0.021500
09/28/2017,24,0.019770
09/29/2017,01,0.018480
09/29/2017,02,0.017510
09/29/2017,03,0.016960
09/29/2017,04,0.017310
09/29/2017,05,0.018540
09/29/2017,06,0.022020
09/29/2017,07,0.023930
09/29/2017,08,0.023480
09/29/2017,09,0.025110
09/29/2017,10,0.026190
09/29/2017,11,0.027590
09/29/2017,12,0.028940
09/29/2017,13,0.030500
09/29/2017,14,0.032380
09/29/2017,15,0.032600
09/29/2017,16,0.033010
09/29/2017,17,0.025580
09/29/2017,18,0.024470
09/29/2017,19,0.026500
09/29/2017,20,0.026800
09/29/2017,21,0.024020
09/29/2017,22,0.021700
09/29/2017,23,0.021010
09/29/2017,24,0.020070
09/30/2017,01,0.017450
09/30/2017,02,0.016540
09/30/2017,03,0.015790
09/30/2017,04,0.015750
09/30/2017,05,0.016090
09/30/2017,06,0.017820
09/30/2017,07,0.018700
09/30/2017,08,0.020560
09/30/2017,09,0.022870
09/30/2017,10,0.024020
09/30/2017,11,0.025070
09/30/2017,12,0.024810
09/30/2017,13,0.024590
09/30/2017,14,0.024640
09/30/2017,15,0.024670
09/30/2017,16,0.024630
09/30/2017,17,0.024480
